Type of Scam,Phone Number,Clean Digits,WhatsApp,Alt Numbers,Company Impersonated,Date Detected (PST),Source URL,Platform,Country,Snippet,Status
"Norton LifeLock Impersonation","1 (888) 433-5431","8884335431","No","","Norton LifeLock","2026-09-23","https://techscammersunited.com/t/norton-plus-fake-refund-888-433-5431/42278","Tech Support United","United States","Active scammer line reported on Tech Support United: Norton Plus Fake Refund 888-433-5431","Active Line"
"Tech Support & Refund Scams","1 (888) 450-8062","8884508062","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/iphone-scammer-csam-888-450-8062/42275","Tech Support United","United States","Active scammer line reported on Tech Support United: iPhone scammer, CSAM (888) 450 8062","Active Line"
"Tech Support & Refund Scams","1 (888) 461-7917","8884617917","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/tax-scammer-cold-call-888-461-7917/42268","Tech Support United","United States","Active scammer line reported on Tech Support United: Tax scammer cold call (888) 461-7917","Active Line"
"Apple Security & Invoice Phishing","1 (888) 416-9804","8884169804","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-fake-virus-alert-888-416-9804/42258","Tech Support United","United States","Active scammer line reported on Tech Support United: Apple fake Virus Alert 888-416-9804","Active Line"
"Apple Security & Invoice Phishing","1 (866) 674-8821","8666748821","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-599-99-refund-scam-866-674-8821/42245","Tech Support United","United States","Active scammer line reported on Tech Support United: Apple $599.99 Refund Scam 866-674-8821","Active Line"
"Apple Security & Invoice Phishing","1 (877) 261-7908","8772617908","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-refund-scam-877-261-7908/42240","Tech Support United","United States","Active scammer line reported on Tech Support United: Apple refund scam (877) 261-7908","Active Line"
"Tech Support & Refund Scams","1 (253) 349-6385","2533496385","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/million-dollar-prize-scam-253-349-6385/42238","Tech Support United","United States","Active scammer line reported on Tech Support United: Million Dollar Prize Scam 253-349-6385","Active Line"
"PCH Sweepstakes Claim Impostor","1 (332) 281-1525","3322811525","No","","Publishers Clearing House","2026-09-23","https://techscammersunited.com/t/publishers-clearing-house-scammer-332-281-1525/42237","Tech Support United","United States","Active scammer line reported on Tech Support United: Publishers Clearing House Scammer 332-281-1525","Active Line"
"PCH Sweepstakes Claim Impostor","1 (202) 469-1798","2024691798","No","","Publishers Clearing House","2026-09-23","https://techscammersunited.com/t/dumb-pch-lottery-scammers-202-469-1798/42236","Tech Support United","United States","Active scammer line reported on Tech Support United: Dumb PCH Lottery Scammers (202) 469-1798","Active Line"
"Amazon Invoice & Impersonation","1 (605) 974-5756","6059745756","No","","Amazon Customer Service","2026-09-23","https://techscammersunited.com/t/amazon-job-scam-605-974-5756/42235","Tech Support United","United States","Active scammer line reported on Tech Support United: Amazon Job Scam 605-974-5756","Active Line"
"Tech Support & Refund Scams","1 (866) 895-4693","8668954693","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-jetblue-flight-cancellation-support-line-866-895-4693/42233","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake JetBlue Flight Cancellation Support Line: (866) 895-4693","Active Line"
"PCH Sweepstakes Claim Impostor","1 (856) 232-8904","8562328904","No","","Publishers Clearing House","2026-09-23","https://techscammersunited.com/t/pch-scammer-856-232-8904/42229","Tech Support United","United States","Active scammer line reported on Tech Support United: PCH Scammer - (856) 232-8904","Active Line"
"Tech Support & Refund Scams","1 (844) 523-0848","8445230848","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-united-flight-cancellation-rebooking-support-line-844-523-0848/42228","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake United Flight Cancellation/Rebooking Support Line: (844) 523-0848","Active Line"
"Geek Squad Renewal Phishing","1 (830) 215-9892","8302159892","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geek-squad-refund-scam-830-215-9892/42221","Tech Support United","United States","Active scammer line reported on Tech Support United: Geek Squad Refund Scam 830-215-9892","Active Line"
"Tech Support & Refund Scams","1 (866) 200-3078","8662003078","No","","AT&T Customer Service","2026-09-23","https://techscammersunited.com/t/at-t-rate-drop-scam-866-200-3078/42219","Tech Support United","United States","Active scammer line reported on Tech Support United: AT&T Rate Drop Scam 866-200-3078","Active Line"
"PayPal Text Scam / Refund Phishing","1 (856) 379-7238","8563797238","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-fake-meta-alert-856-379-7238/42218","Tech Support United","United States","Active scammer line reported on Tech Support United: PayPal/Fake Meta alert ‪(856) 379-7238‬","Active Line"
"Tech Support & Refund Scams","1 (877) 261-6249","8772616249","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/popup-scam-link-877-261-6249/42216","Tech Support United","United States","Active scammer line reported on Tech Support United: Popup Scam Link 877-261-6249","Active Line"
"Tech Support & Refund Scams","1 (916) 916-5425","9169165425","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/geeksquad-refund-scammer-812-538-1020-and-916-916-5425/42215","Tech Support United","United States","Active scammer line reported on Tech Support United: GeekSquad Refund Scammer - (812) 538-1020 and (916) 916-5425","Active Line"
"Tech Support & Refund Scams","1 (812) 538-1020","8125381020","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/geeksquad-refund-scammer-812-538-1020-and-916-916-5425/42215","Tech Support United","United States","Active scammer line reported on Tech Support United: GeekSquad Refund Scammer - (812) 538-1020 and (916) 916-5425","Active Line"
"Apple Security & Invoice Phishing","1 (845) 406-8077","8454068077","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-699-92-csam-refund-scam-845-406-8077/42214","Tech Support United","United States","Active scammer line reported on Tech Support United: Apple $699.92 CSAM Refund Scam 845-406-8077","Active Line"
"Apple Security & Invoice Phishing","1 (888) 611-0855","8886110855","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-investigation-scam-888-611-0855-using-openai-chatbot/42210","Tech Support United","United States","Active scammer line reported on Tech Support United: Apple investigation scam 888-611-0855 (using OpenAI chatbot)","Active Line"
"Apple Security & Invoice Phishing","1 (888) 611-7203","8886117203","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-gift-card-scam-p-text-888-611-7203/42209","Tech Support United","United States","Active scammer line reported on Tech Support United: Apple Gift Card Scam P-Text (888) 611-7203","Active Line"
"Tech Support & Refund Scams","1 (415) 662-8185","4156628185","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/credit-services-scammer-415-662-8185/42205","Tech Support United","United States","Active scammer line reported on Tech Support United: Credit Services Scammer - (415) 662-8185","Active Line"
"Norton LifeLock Impersonation","1 (845) 538-1374","8455381374","No","","Norton LifeLock","2026-09-23","https://techscammersunited.com/t/norton-360-scam-845-538-1374/42203","Tech Support United","United States","Active scammer line reported on Tech Support United: Norton 360 Scam (845) 538-1374","Active Line"
"Tech Support & Refund Scams","1 (877) 664-4201","8776644201","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-hopper-flight-booking-and-change-support-line-877-664-4201/42177","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Hopper Flight Booking and Change Support Line: (877) 664-4201","Active Line"
"Tech Support & Refund Scams","1 (888) 821-5580","8888215580","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/delta-flight-cancellation-scam-888-821-5580/42169","Tech Support United","United States","Active scammer line reported on Tech Support United: Delta Flight Cancellation Scam 888-821-5580","Active Line"
"PCH Sweepstakes Claim Impostor","1 (240) 680-1949","2406801949","No","","Publishers Clearing House","2026-09-23","https://techscammersunited.com/t/unclaimed-department-mega-millions-pch-850-980-0088-240-680-1949/42168","Tech Support United","United States","Active scammer line reported on Tech Support United: Unclaimed Department/Mega Millions/PCH - (850) 980-0088/ (240) 680-1949","Active Line"
"Tech Support & Refund Scams","1 (888) 489-2084","8884892084","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-expedia-customer-service-support-line-888-489-2084/42166","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Expedia Customer Service Support Line: (888) 489-2084","Active Line"
"PayPal Text Scam / Refund Phishing","1 (843) 301-2710","8433012710","No","","PayPal","2026-09-23","https://techscammersunited.com/t/geeksquad-paypal-refund-scammers-843-301-2710/42165","Tech Support United","United States","Active scammer line reported on Tech Support United: GeekSquad/Paypal Refund Scammers - (843) 301-2710","Active Line"
"PayPal Text Scam / Refund Phishing","1 (803) 250-8448","8032508448","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-customer-lawsuit-division-803-250-8448/42164","Tech Support United","United States","Active scammer line reported on Tech Support United: PayPal “Customer Lawsuit” Division - (803) 250-8448","Active Line"
"Apple Security & Invoice Phishing","1 (585) 209-0540","5852090540","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-id-scam-585-209-0540/42162","Tech Support United","United States","Active scammer line reported on Tech Support United: Apple ID Scam (585) 209-0540","Active Line"
"Tech Support & Refund Scams","1 (855) 382-3975","8553823975","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-expedia-customer-service-scam-855-382-3975/42159","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Expedia Customer Service Scam 855-382-3975","Active Line"
"Tech Support & Refund Scams","1 (833) 341-5261","8333415261","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-turkish-airlines-booking-and-flight-change-support-line-833-341-5261/42157","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Turkish Airlines Booking and Flight Change Support Line: (833) 341-5261","Active Line"
"Tech Support & Refund Scams","1 (855) 235-0024","8552350024","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-american-airlines-cancelled-flight-rebooking-support-line-855-235-0024/42156","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake American Airlines Cancelled Flight Rebooking Support Line: (855) 235-0024","Active Line"
"Tech Support & Refund Scams","1 (866) 734-2013","18667342013","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/british-airways-phone-scam-1-866-734-2013/42155","Tech Support United","United States","Active scammer line reported on Tech Support United: British Airways Phone Scam +1-866-734-2013","Active Line"
"Tech Support & Refund Scams","1 (877) 790-1213","8777901213","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-linksys-tech-support-scam-877-790-1213/42154","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Linksys Tech Support Scam 877-790-1213","Active Line"
"Norton LifeLock Impersonation","1 (866) 428-6620","8664286620","No","","Norton LifeLock","2026-09-23","https://techscammersunited.com/t/fake-norton-support-call-scam-866-428-6620/42152","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Norton Support Call Scam 866-428-6620","Active Line"
"Tech Support & Refund Scams","1 (888) 718-3545","8887183545","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-national-car-rental-phone-scam-888-718-3545/42151","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake National Car Rental Phone Scam 888-718-3545","Active Line"
"Tech Support & Refund Scams","1 (888) 284-8863","8882848863","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/quickbooks-support-scam-888-284-8863/42150","Tech Support United","United States","Active scammer line reported on Tech Support United: QuickBooks Support Scam 888-284-8863","Active Line"
"Tech Support & Refund Scams","1 (888) 548-7012","8885487012","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/delta-customer-service-scam-888-548-7012/42149","Tech Support United","United States","Active scammer line reported on Tech Support United: Delta Customer Service Scam 888-548-7012","Active Line"
"Tech Support & Refund Scams","1 (844) 954-4934","8449544934","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-delta-reservation-scam-844-954-4934/42148","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Delta Reservation Scam 844-954-4934","Active Line"
"PayPal Text Scam / Refund Phishing","1 (888) 821-4247","8888214247","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-520-23-otp-scam-888-821-4247/42147","Tech Support United","United States","Active scammer line reported on Tech Support United: PayPal 520.23 OTP Scam 888-821-4247","Active Line"
"Tech Support & Refund Scams","1 (833) 894-5333","8338945333","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-pacific-coastal-airlines-flight-change-support-line-833-894-5333/42144","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Pacific Coastal Airlines Flight Change Support Line: (833) 894-5333","Active Line"
"Tech Support & Refund Scams","1 (888) 815-3006","8888153006","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-multi-airline-reservations-helpdesk-888-815-3006/42129","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Multi-Airline Reservations Helpdesk: (888) 815-3006","Active Line"
"Tech Support & Refund Scams","1 (866) 509-1404","8665091404","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-american-airlines-name-change-support-line-866-509-1404/42119","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake American Airlines Name-Change Support Line: (866) 509-1404","Active Line"
"Tech Support & Refund Scams","1 (877) 592-2807","8775922807","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-delta-customer-service-line-877-592-2807/42107","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Delta Customer Service Line: (877) 592-2807","Active Line"
"Tech Support & Refund Scams","1 (855) 924-0134","8559240134","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/fake-delta-24-7-customer-service-reservations-line-855-924-0134/42104","Tech Support United","United States","Active scammer line reported on Tech Support United: Fake Delta 24/7 Customer Service / Reservations Line: (855) 924-0134","Active Line"
"Tech Support & Refund Scams","1 (888) 732-0061","8887320061","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/cruise-scam-888-732-0061/42101","Tech Support United","United States","Active scammer line reported on Tech Support United: Cruise scam (888) 732-0061","Active Line"
"Tech Support & Refund Scams","1 (855) 811-0966","8558110966","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/windows-popup-2-scam-855-811-0966/42089","Tech Support United","United States","Active scammer line reported on Tech Support United: Windows Popup 2 Scam (855) 811-0966","Active Line"
"PayPal Text Scam / Refund Phishing","1 (800) 603-9509","8006039509","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-scam-800-603-9509/42088","Tech Support United","United States","Active scammer line reported on Tech Support United: PayPal scam 800-603-9509","Active Line"
"Tech Support & Refund Phishing","1 (646) 298-9609","6462989609","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/email-scam-kevin-eisenberg-hklaw-gmail-com-646-298-9609/42138","Tech Support United","United States","Bogus security renewal notification threatening credit card deduction unless user calls this direct New York DID line.","Active Line"
"Refund Scam","1 (415) 651-7668","4156517668","No","","Zelle Support","2026-09-23","https://techscammersunited.com/t/zelle-refund-scam-415-651-7668/42325","Tech Support United","United States","Fraudsters send false Zelle transaction notifications indicating money has been mistakenly sent or requested. Users calling the contact number are guided through bank account compromise steps under the pretext of canceling the transfer.","Active Line"
"General Tech Support & Refund Scams","1 (813) 595-4799","8135954799","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geeksquad-refund-scammer-830-743-3648-and-813-595-4799/42265","User Report (endscams.org/report)","United States","Scammers issue fake Geek Squad renewal invoices claiming hundreds of dollars have been debited from the customer's account. When victims call the provided numbers to dispute the charge, agents attempt to gain remote access to execute fraudulent bank transfers.","Active Line"
"Tech Support & Refund Scams","1 (888) 599-2503","8885992503","No","","Scammers pose as AT&T customer support representatives, claiming account issues, service disruptions, or suspicious activity. Callers are instructed to connect to support agents who attempt to harvest account credentials or charge fraudulent support fees.","2026-09-23","https://techscammersunited.com/t/at-t-support-scammers-888-599-2503/42313","Tech Support United","United States","Scammers pose as AT&T customer support representatives, claiming account issues, service disruptions, or suspicious activity. Callers are instructed to connect to support agents who attempt to harvest account credentials or charge fraudulent support fees.","Active Line"
"Lottery & Sweepstakes Scams","1 (901) 584-2315","9015842315","No","","American Cash Award","2026-09-23","https://endscams.org/report","EndScams Report (endscams.org/report)","United States","James Washington - American cash award","Active Line"
"Spellcaster WhatsApp Extortion","+229 97 40 18 29","22997401829","Yes","","Meta Support","2026-09-23","https://www.google.com/search?q=site:+instagram.com+%22spellcaster%22+%22Whatsapp%22&tbs=qdr:d","Instagram","Benin","Benin voodoo priest contact number +22997401829 operating across Instagram reels claiming psychic readings and instant love reconnection.","Active Line"
"Spellcaster WhatsApp Extortion","+27 71 893 2410","27718932410","Yes","","Meta Support","2026-09-23","https://www.instagram.com/reel/CxgQC3GotOJ/","Instagram","South Africa","South African mobile number advertised on Instagram for spiritual consultations, money attraction spells, and ancestral rituals.","Active Line"
"Spellcaster WhatsApp Extortion","+254 712 904 883","254712904883","Yes","","Meta Support","2026-09-23","https://www.instagram.com/p/CyWQFeqMpnc/","Instagram","Kenya","Instagram posts and bio links for traditional healing, court case winning, and relationship binding via WhatsApp +254712904883.","Active Line"
"Spellcaster WhatsApp Extortion","+234 810 859 6918","2348108596918","Yes","","National Sweepstakes Claims","2026-09-23","https://www.instagram.com/p/CzUBM46M4KP/","Instagram","Nigeria","Instagram profile posts prompting users to text or message on WhatsApp +2348108596918 for urgent love and lottery spell work.","Active Line"
"Spellcaster WhatsApp Extortion","+234 815 304 4330","2348153044330","Yes","","Meta Support","2026-09-23","https://www.instagram.com/reel/CunAKiMtUsL/","Instagram","Nigeria","Instagram reel and post advertising love spells, ex-back rituals, and voodoo magic, directing victims to WhatsApp +2348153044330.","Active Line"
"Crypto BTC Recovery Scam","+233 24 509 8132","233245098132","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.instagram.com/p/Cy9PxiSMn2N/","Facebook","Ghana","Advance-fee blockchain recovery scam targeting compromised crypto wallets. Claims ability to force transaction rollbacks via WhatsApp.","Active Line"
"Crypto BTC Recovery Scam","+27 78 681 6925","27786816925","Yes","","Citibank Fraud Prevention","2026-09-23","https://www.instagram.com/reel/CwzcUoUIIjK/","Instagram","South Africa","Instagram bio and post soliciting scam victims to initiate a WhatsApp chat with +27786816925 for guaranteed Bitcoin reversal.","Active Line"
"Crypto BTC Recovery Scam","+234 812 790 4819","2348127904819","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site:+instagram.com+%22btc+recovery%22+%22Whatsapp%22&tbs=qdr:d","Instagram","Nigeria","Instagram posts impersonating blockchain tracking companies, directing victims to WhatsApp number +234 812 790 4819 to recover lost coins.","Active Line"
"Spellcaster WhatsApp Extortion","+233 55 918 3740","233559183740","Yes","","Meta Support","2026-09-23","https://www.google.com/search?q=inurl:%22guestbook%22+spell+whatsapp&tbs=qdr:d","Guestbooks","Ghana","Guestbook spam featuring testimonials of ex-partner returns with WhatsApp callback line +233 55 918 3740.","Active Line"
"Spellcaster WhatsApp Extortion","+233 54 829 1047","233548291047","Yes","","Meta Support","2026-09-23","https://www.google.com/search?q=inurl:%22guestbook%22+spell+whatsapp&tbs=qdr:m","Guestbooks","Ghana","Guestbook bot spam promoting Ghana-based spiritualist for marriage recovery and instant money rituals on WhatsApp +233548291047.","Active Line"
"Spellcaster WhatsApp Extortion","+254 740 637 248","254740637248","Yes","","National Sweepstakes Claims","2026-09-23","https://www.google.com/search?q=inurl:%22guestbook%22+spell+whatsapp&tbs=qdr:m","Guestbooks","Kenya","Spam bot injected fake testimonials into web guestbooks offering miracle cures and lottery numbers via Kenyan WhatsApp.","Active Line"
"Spellcaster WhatsApp Extortion","+234 814 628 3921","2348146283921","Yes","","National Sweepstakes Claims","2026-09-23","https://www.google.com/search?q=inurl:%22guestbook%22+spell+whatsapp&tbs=qdr:m","Guestbooks","Nigeria","Automated guestbook spammer posting testimonials about lottery winning spells and pregnancy spells via WhatsApp line +2348146283921.","Active Line"
"Spellcaster WhatsApp Extortion","+234 806 719 3840","2348067193840","Yes","","Meta Support","2026-09-23","https://www.google.com/search?q=inurl:%22guestbook%22+spell+whatsapp&tbs=qdr:d","Guestbooks","Nigeria","Spam entries injected into website guestbooks and comment sections offering spell casting and relationship fixing via WhatsApp +234 806 719 3840.","Active Line"
"Illuminati Extortion Scams","+234 903 847 2910","2349038472910","Yes","","Meta Support","2026-09-23","https://www.google.com/search?q=site:+facebook.com+%22illuminati%22+%22Whatsapp%22&tbs=qdr:d","Facebook","Nigeria","Facebook page promoting Nigerian WhatsApp chat line +234 903 847 2910 for spiritual wealth guidance and ritual initiation.","Active Line"
"Illuminati Extortion Scams","+254 757 866 490","254757866490","Yes","","Meta Support","2026-09-23","https://www.facebook.com/groups/129770992460545/","Facebook","Kenya","Kenyan Facebook page advertising ""Join Illuminati in Nairobi for Free"" with WhatsApp contact line 0757866490 (+254757866490).","Active Line"
"Illuminati Extortion Scams","+234 701 020 1077","2347010201077","Yes","","Meta Support","2026-09-23","https://business.facebook.com/groups/5223513591088722/","Facebook","Nigeria","Spanish and English language Facebook group post connecting victims to Nigerian WhatsApp number +2347010201077 for fake membership.","Active Line"
"Illuminati Extortion Scams","+237 671 892 401","237671892401","Yes","","Postal Delivery Services","2026-09-23","https://www.google.com/search?q=site:+facebook.com+%22illuminati%22+%22Whatsapp%22&tbs=qdr:d","Facebook","Cameroon","Cameroon WhatsApp line +237 671 892 401 posted in Facebook groups promising online fellowship invitations and wealth empowerment.","Active Line"
"Illuminati Extortion Scams","+256 784 192 840","256784192840","Yes","","Postal Delivery Services","2026-09-23","https://www.google.com/search?q=site:+facebook.com+%22illuminati%22+%22Whatsapp%22&tbs=qdr:d","Facebook","Uganda","Uganda-based WhatsApp line promoted across Facebook groups promising wealth and fame upon sending initiation fee to +256 784 192 840.","Active Line"
"Illuminati Extortion Scams","+27 73 283 7983","27732837983","Yes","","Meta Support","2026-09-23","https://www.facebook.com/groups/illuminatipriest/","Facebook","South Africa","South African Facebook group directing followers to contact ""High Priest"" directly on WhatsApp for secret society initiation.","Active Line"
"Illuminati Extortion Scams","+254 112 883 184","254112883184","Yes","","Meta Support","2026-09-23","https://www.facebook.com/bandah.namwabah/posts/762232438704192/","Facebook","Kenya","Kenyan WhatsApp contact number shared in Facebook posts offering riches, power, and celebrity status in exchange for upfront ritual fees.","Active Line"
"Illuminati Extortion Scams","+260 962 032 728","260962032728","Yes","","Meta Support","2026-09-23","https://www.facebook.com/bandah.namwabah/posts/762232438704192/","Facebook","Zambia","Secondary Zambian WhatsApp callback number promoted across Facebook posts for fake celebrity/wealth club membership.","Active Line"
"Illuminati Extortion Scams","+260 770 733 495","260770733495","Yes","","Meta Support","2026-09-23","https://www.facebook.com/bandah.namwabah/posts/762232438704192/","Facebook","Zambia","Zambia-based social media extortion campaign advertising initiation into the Illuminati elite network via WhatsApp line +260770733495 with advance fee registration fees.","Active Line"
"Illuminati Extortion Scams","+234 816 492 8104","2348164928104","Yes","","Meta Support","2026-09-23","https://www.google.com/search?q=site:+facebook.com+%22illuminati%22+%22Whatsapp%22&tbs=qdr:d","Facebook","Nigeria","Facebook group & page recruiting victims into the fake Illuminati fraternity, promising wealth and fame upon sending ""JOIN"" to WhatsApp line +234 816 492 8104.","Active Line"
"Crypto BTC Recovery Scam","+27 63 948 1022","27639481022","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.facebook.com/groups/cryptorecoverysa/","Facebook","South Africa","South African Facebook group comments offering recovery of scammed Luno/Binance Bitcoin deposits via WhatsApp +27639481022.","Active Line"
"Crypto BTC Recovery Scam","+254 791 402 819","254791402819","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site:+facebook.com+%22btc+recovery%22+%22Whatsapp%22&tbs=qdr:d","Facebook","Kenya","Facebook post targeting victims of cryptocurrency fraud, promising recovery of BTC from fake investment platforms via WhatsApp line +254 791 402 819.","Active Line"
"Crypto BTC Recovery Scam","+27 82 491 8204","27824918204","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site:+facebook.com+%22btc+recovery%22+%22Whatsapp%22&tbs=qdr:d","Facebook","South Africa","Facebook post claiming certified forensic recovery of stolen Bitcoin and romance scam funds, instructing victims to message WhatsApp +27 82 491 8204.","Active Line"
